"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"DIODE-SOD323-W";"SOD323-W";"D4";"DIODE";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"JP1";"PIN HEADER";"";"";"";"";
"22";"0.1uF";"C-EUC0603";"C0603";"C1, C8, C10, C15, C20, C25, C26, C27, C28, C29, C30, C31, C32, C33, C39, C40, C41, C42, C44, C47, C60, C62";"CAPACITOR, European symbol";"";"";"";"";
"1";"0R";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";
"1";"100K";"R-EU_R0603";"R0603";"R40";"RESISTOR, European symbol";"";"";"";"";
"4";"100R";"R-EU_R0603";"R0603";"R1, R16, R24, R32";"RESISTOR, European symbol";"";"";"";"";
"2";"100uF";"CPOL-EUD";"PANASONIC_D";"C54, C55";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"9";"10K";"R-EU_R0603";"R0603";"R10, R11, R19, R27, R35, R36, R37, R38, R43";"RESISTOR, European symbol";"";"";"";"";
"1";"10R";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"";"";
"4";"10nF";"C-EUC0603";"C0603";"C34, C45, C48, C58";"CAPACITOR, European symbol";"";"";"";"";
"4";"110K";"R-EU_R0603";"R0603";"R5, R14, R22, R30";"RESISTOR, European symbol";"";"";"";"";
"1";"120Ohm/100MHz";"L-USL2012C";"L2012C";"L8";"INDUCTOR, American symbol";"";"";"";"";
"4";"12K";"R-EU_R0603";"R0603";"R4, R13, R21, R29";"RESISTOR, European symbol";"";"";"";"";
"6";"1K";"R-EU_R0603";"R0603";"R3, R17, R25, R33, R41, R42";"RESISTOR, European symbol";"";"";"";"";
"12";"1uF";"C-EUC0603";"C0603";"C7, C9, C14, C19, C24, C35, C36, C37, C38, C43, C46, C61";"CAPACITOR, European symbol";"";"";"";"";
"1";"2.2uH";"L-USL2825P";"L2825P";"L6";"INDUCTOR, American symbol";"";"";"";"";
"1";"200mA";"R-EU_R1206";"R1206";"PTC1";"RESISTOR, European symbol";"";"";"";"";
"4";"220uH";"L-USL2012C";"L2012C";"L1, L3, L4, L5";"INDUCTOR, American symbol";"";"";"";"";
"4";"24K";"R-EU_R0603";"R0603";"R7, R18, R26, R34";"RESISTOR, European symbol";"";"";"";"";
"4";"25LC040ST";"25LC040ST";"TSSOP8";"IC11, IC12, IC13, IC14";"Serial EEPROM 4K/ 8K , SPI bus";"MICROCHIP";"25LC040A-I/ST";"1815998";"72J3684";
"1";"30Ohm/100MHz";"L-USL2012C";"L2012C";"L7";"INDUCTOR, American symbol";"";"";"";"";
"4";"33pF";"C-EUC0603";"C0603";"C3, C11, C16, C21";"CAPACITOR, European symbol";"";"";"";"";
"4";"36K";"R-EU_R0603";"R0603";"R6, R15, R23, R31";"RESISTOR, European symbol";"";"";"";"";
"1";"36pF";"C-EUC0603";"C0603";"C53";"CAPACITOR, European symbol";"";"";"";"";
"4";"4.7pF";"C-EUC0603";"C0603";"C5, C13, C18, C23";"CAPACITOR, European symbol";"";"";"";"";
"6";"4.7uF";"C-EUC0805";"C0805";"C49, C50, C52, C56, C57, C59";"CAPACITOR, European symbol";"";"";"";"";
"1";"470K";"R-EU_R0603";"R0603";"R39";"RESISTOR, European symbol";"";"";"";"";
"1";"47nH";"L-USL2012C";"L2012C";"L2";"INDUCTOR, American symbol";"";"";"";"";
"4";"49R9";"R-EU_R0603";"R0603";"R2, R12, R20, R28";"RESISTOR, European symbol";"";"";"";"";
"5";"5V1";"DIODE-SOD323-W";"SOD323-W";"D1, D2, D3, D5, D6";"DIODE";"";"";"";"";
"4";"68pF";"C-EUC0603";"C0603";"C4, C12, C17, C22";"CAPACITOR, European symbol";"";"";"";"";
"1";"8.2pF";"C-EUC0603";"C0603";"C51";"CAPACITOR, European symbol";"";"";"";"";
"1";"ADR361";"ADR361";"SOT23-5";"IC18";"";"";"";"";"";
"1";"BOARD_STACKINGHWHD_SH";"BOARD_STACKINGHWHD_SH";"HWHD_SHARP_CORNERS";"BRD1";"";"";"";"";"";
"1";"BSS123";"BSS123";"SOT23";"Q2";"N-CHANNEL MOS FET";"";"";"";"";
"1";"BSS84";"BSS84";"SOT23";"Q1";"P-CHANNEL MOS FET";"";"";"";"";
"1";"CORTEX-DEBUG";"CORTEX-DEBUG";"CORTEX-DEBUG";"X8";"";"";"";"";"";
"1";"L76";"L76";"L76";"IC3";"";"";"";"";"";
"1";"LM3671MF-ADJ";"LM3671MF";"SOT23-5";"IC15";"";"";"";"";"";
"5";"MMCX_PCB90";"MMCX_PCB90";"MMCX_PCB_90";"X1, X2, X3, X4, X7";"";"";"";"";"";
"1";"NCP700B";"TS520530";"SOT25";"IC16";"150mA Low Noise LDO Voltage Regulator with Enable";"";"";"";"";
"2";"NP";"C-EUC0603";"C0603";"C2, C6";"CAPACITOR, European symbol";"";"";"";"";
"9";"OPA356";"MCP601OT";"SOT23-5";"IC2, IC4, IC5, IC6, IC7, IC8, IC9, IC10, IC17";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";"";"";"";"";
"1";"STACKING_CONNECTOR_BOTTOM";"STACKING_CONNECTOR_BOTTOM";"HAR-FLEX-BOTTOM-12P";"X6";"";"";"";"";"";
"1";"STACKING_CONNECTOR_TOP";"STACKING_CONNECTOR_TOP";"HAR-FLEX-TOP-12P";"X5";"";"";"";"";"";
"1";"STM32F303XB";"STM32F303XB";"TQFP100";"IC1";"";"";"";"";"";
"1";"VCTCXO_5032";"VCTCXO_5032";"XTAL_5032";"XO1";"";"";"";"";"";
